"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"85","1991","11","Tamil Nadu","North Arcot Vellore","9.79","5.5","0.45","29.22","55.42","124.78","70.14","120.91","120.02","240.61","244.8","3.8"
"85","1992","11","Tamil Nadu","North Arcot Vellore","9.24","0.0","0.0","5.28","54.34","51.44","69.41","104.56","98.03","120.66","156.91","28.73"
"85","1993","11","Tamil Nadu","North Arcot Vellore","0.0","0.67","7.48","14.28","135.94","75.58","77.63","111.5","84.72","201.32","127.9","109.33"
"85","1994","11","Tamil Nadu","North Arcot Vellore","1.43","18.21","0.9","21.17","105.62","42.4","88.57","97.66","64.09","201.72","139.61","45.32"
"85","1995","11","Tamil Nadu","North Arcot Vellore","46.5","0.55","14.34","21.65","104.48","49.66","113.3","249.0","168.86","140.57","66.04","3.52"
"85","1996","11","Tamil Nadu","North Arcot Vellore","1.72","0.82","1.24","47.79","35.39","74.41","55.64","135.94","97.88","170.39","70.48","104.22"
"85","1997","11","Tamil Nadu","North Arcot Vellore","12.98","0.0","11.23","40.71","31.16","69.97","44.75","113.67","123.58","252.05","286.85","104.75"
"85","1998","11","Tamil Nadu","North Arcot Vellore","2.09","0.63","0.48","25.02","89.24","30.16","148.05","205.26","109.97","168.05","139.14","101.93"
"85","1999","11","Tamil Nadu","North Arcot Vellore","1.93","5.59","0.6","41.52","74.25","74.68","65.69","114.19","114.52","204.38","104.95","31.93"
"85","2000","11","Tamil Nadu","North Arcot Vellore","2.58","11.84","0.57","36.91","55.63","70.73","101.17","174.76","188.36","219.0","86.54","34.4"
"85","2001","11","Tamil Nadu","North Arcot Vellore","3.96","0.48","0.69","66.03","36.91","40.23","122.81","70.32","151.83","243.02","86.27","67.54"
"85","2002","11","Tamil Nadu","North Arcot Vellore","24.26","1.68","0.16","2.68","103.72","61.42","45.67","98.9","96.9","232.31","131.24","15.46"
"85","2003","11","Tamil Nadu","North Arcot Vellore","0.64","2.6","13.8","26.1","22.1","56.87","138.91","146.58","82.52","203.4","49.37","11.79"
"85","2004","11","Tamil Nadu","North Arcot Vellore","17.38","1.6","4.87","35.88","155.95","68.96","143.94","58.8","251.47","222.09","75.86","5.42"
"85","2005","11","Tamil Nadu","North Arcot Vellore","4.74","7.3","5.57","45.14","113.36","39.21","118.2","119.68","130.42","454.95","179.05","109.58"
"85","2006","11","Tamil Nadu","North Arcot Vellore","3.92","0.0","55.48","27.4","70.75","89.34","84.0","90.28","93.58","287.22","102.63","4.62"
"85","2007","11","Tamil Nadu","North Arcot Vellore","0.79","17.84","0.27","47.2","51.09","73.45","186.62","194.4","166.24","180.15","56.09","86.7"
"85","2008","11","Tamil Nadu","North Arcot Vellore","19.8","21.0","50.96","30.34","32.39","69.53","142.94","197.25","110.43","276.08","208.22","7.4"
"85","2009","11","Tamil Nadu","North Arcot Vellore","9.02","0.0","10.17","14.91","104.19","74.39","43.11","140.69","189.57","36.27","201.37","74.08"
"85","2010","11","Tamil Nadu","North Arcot Vellore","2.37","0.14","2.05","29.09","85.67","97.89","129.15","136.48","167.5","151.96","178.09","66.63"
"85","2011","11","Tamil Nadu","North Arcot Vellore","5.57","44.85","0.06","65.1","77.01","64.05","123.16","199.13","126.94","200.94","145.95","52.3"
"85","2012","11","Tamil Nadu","North Arcot Vellore","13.03","0.59","0.32","7.96","42.89","28.18","74.51","157.15","127.79","179.13","113.81","66.15"
"85","2013","11","Tamil Nadu","North Arcot Vellore","0.58","19.19","30.23","6.78","119.31","136.16","133.77","118.3","185.53","139.94","150.8","21.03"
"85","2014","11","Tamil Nadu","North Arcot Vellore","0.93","5.02","1.76","4.96","61.06","146.12","70.58","130.92","126.59","318.54","59.66","37.45"
"85","2015","11","Tamil Nadu","North Arcot Vellore","19.98","0.5","14.11","52.48","103.95","55.65","111.75","136.68","113.42","95.52","267.37","19.9"
"86","1990","11","Tamil Nadu","Salem","52.46","2.37","14.77","10.91","127.37","41.55","44.04","66.34","90.64","239.57","90.15","31.7"
"86","1991","11","Tamil Nadu","Salem","11.82","14.25","2.12","74.97","84.87","92.92","48.34","116.36","82.75","285.0","195.17","5.63"
"86","1992","11","Tamil Nadu","Salem","3.77","0.0","0.0","15.1","74.71","49.4","52.92","91.75","104.44","126.75","143.94","19.61"
