"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)"
"88","2013","11","Tamil Nadu","Tiruchirapalli Trichy","47.81"
"88","2014","11","Tamil Nadu","Tiruchirapalli Trichy","50.81"
"88","2015","11","Tamil Nadu","Tiruchirapalli Trichy","58.21"
"88","2016","11","Tamil Nadu","Tiruchirapalli Trichy","26.87"
"89","1990","11","Tamil Nadu","Thanjavur","444.7"
"89","1991","11","Tamil Nadu","Thanjavur","457.03"
"89","1992","11","Tamil Nadu","Thanjavur","221.88"
"89","1993","11","Tamil Nadu","Thanjavur","215.58"
"89","1994","11","Tamil Nadu","Thanjavur","208.64"
"89","1995","11","Tamil Nadu","Thanjavur","188.79"
"89","1996","11","Tamil Nadu","Thanjavur","166.18"
"89","1997","11","Tamil Nadu","Thanjavur","181.38"
"89","1998","11","Tamil Nadu","Thanjavur","184.36"
"89","1999","11","Tamil Nadu","Thanjavur","188.91"
"89","2000","11","Tamil Nadu","Thanjavur","191.52"
"89","2001","11","Tamil Nadu","Thanjavur","192.16"
"89","2002","11","Tamil Nadu","Thanjavur","139.05"
"89","2003","11","Tamil Nadu","Thanjavur","123.25"
"89","2004","11","Tamil Nadu","Thanjavur","160.61"
"89","2005","11","Tamil Nadu","Thanjavur","154.9"
"89","2006","11","Tamil Nadu","Thanjavur","164.24"
"89","2007","11","Tamil Nadu","Thanjavur","150.23"
"89","2008","11","Tamil Nadu","Thanjavur","177.09"
"89","2009","11","Tamil Nadu","Thanjavur","162.94"
"89","2010","11","Tamil Nadu","Thanjavur","166.21"
"89","2011","11","Tamil Nadu","Thanjavur","180.86"
"89","2012","11","Tamil Nadu","Thanjavur","146.96"
"89","2013","11","Tamil Nadu","Thanjavur","167.29"
"89","2014","11","Tamil Nadu","Thanjavur","177.76"
"89","2015","11","Tamil Nadu","Thanjavur","177.43"
"89","2016","11","Tamil Nadu","Thanjavur","147.19"
"90","1990","11","Tamil Nadu","Madurai","119.15"
"90","1991","11","Tamil Nadu","Madurai","102.54"
"90","1992","11","Tamil Nadu","Madurai","116.33"
"90","1993","11","Tamil Nadu","Madurai","117.0"
"90","1994","11","Tamil Nadu","Madurai","114.72"
"90","1995","11","Tamil Nadu","Madurai","88.92"
"90","1996","11","Tamil Nadu","Madurai","84.71"
"90","1997","11","Tamil Nadu","Madurai","83.06"
"90","1998","11","Tamil Nadu","Madurai","87.23"
"90","1999","11","Tamil Nadu","Madurai","82.33"
"90","2000","11","Tamil Nadu","Madurai","76.91"
"90","2001","11","Tamil Nadu","Madurai","68.13"
"90","2002","11","Tamil Nadu","Madurai","43.96"
"90","2003","11","Tamil Nadu","Madurai","23.93"
"90","2004","11","Tamil Nadu","Madurai","60.37"
"90","2005","11","Tamil Nadu","Madurai","71.0"
"90","2006","11","Tamil Nadu","Madurai","67.23"
"90","2007","11","Tamil Nadu","Madurai","61.86"
"90","2008","11","Tamil Nadu","Madurai","66.7"
"90","2009","11","Tamil Nadu","Madurai","50.99"
"90","2010","11","Tamil Nadu","Madurai","61.06"
"90","2011","11","Tamil Nadu","Madurai","65.64"
"90","2012","11","Tamil Nadu","Madurai","18.02"
"90","2013","11","Tamil Nadu","Madurai","35.27"
"90","2014","11","Tamil Nadu","Madurai","47.72"
"90","2015","11","Tamil Nadu","Madurai","55.98"
"90","2016","11","Tamil Nadu","Madurai","10.41"
"91","1990","11","Tamil Nadu","Ramananthapuram","64.08"
"91","1991","11","Tamil Nadu","Ramananthapuram","56.53"
"91","1992","11","Tamil Nadu","Ramananthapuram","57.68"
