"Dist Code","Year","State Code","State Name","Dist Name","JANUARY ACTUAL (Millimeters)","FEBRUARY ACTUAL (Millimeters)","MARCH ACTUAL (Millimeters)","APRIL ACTUAL (Millimeters)","MAY ACTUAL (Millimeters)","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"87","1992","11","Tamil Nadu","Coimbatore","30.4","14.08","7.23","46.19","84.72","82.5","97.36","90.96","83.44","117.66","106.51","75.2"
"87","1993","11","Tamil Nadu","Coimbatore","29.98","16.87","19.71","38.7","64.79","86.65","94.87","86.06","64.31","117.01","108.38","101.66"
"87","1994","11","Tamil Nadu","Coimbatore","56.91","32.84","33.0","111.7","147.69","105.07","85.74","82.68","70.5","114.14","104.37","69.47"
"87","1995","11","Tamil Nadu","Coimbatore","43.23","18.96","29.92","78.99","84.38","85.1","99.91","105.68","79.07","115.01","75.71","26.32"
"87","1996","11","Tamil Nadu","Coimbatore","23.89","16.78","28.04","78.44","51.3","85.52","92.65","86.62","80.64","110.4","43.27","77.51"
"87","1997","11","Tamil Nadu","Coimbatore","24.42","12.36","27.73","52.18","49.95","103.84","91.64","90.9","87.49","113.88","104.26","99.96"
"87","1998","11","Tamil Nadu","Coimbatore","52.85","34.76","17.0","53.47","116.98","53.74","105.27","107.34","99.86","118.84","103.04","107.19"
"87","1999","11","Tamil Nadu","Coimbatore","67.0","40.97","28.51","79.05","107.7","71.92","90.84","72.75","61.08","110.04","102.06","69.57"
"87","2000","11","Tamil Nadu","Coimbatore","39.34","45.79","13.31","71.7","79.92","63.86","87.54","110.9","105.37","115.8","104.58","94.54"
"87","2001","11","Tamil Nadu","Coimbatore","70.13","37.69","17.27","138.16","54.66","60.22","100.14","87.41","87.61","115.96","86.36","55.85"
"87","2002","11","Tamil Nadu","Coimbatore","26.48","15.98","16.64","25.19","86.44","78.67","70.68","72.42","52.88","112.07","104.73","67.27"
