"Dist Code","Year","State Code","State Name","Dist Name","JANUARY WATER DEFICIT (Millimeters)","FEBRUARY WATER DEFICIT (Millimeters)","MARCH WATER DEFICIT (Millimeters)","APRIL WATER DEFICIT (Millimeters)","MAY WATER DEFICIT (Millimeters)","JUNE WATER DEFICIT (Millimeters)","JULY WATER DEFICIT (Millimeters)","AUGUST WATER DEFICIT (Millimeters)","OCTOBER WATER DEFICIT (Millimeters)","NOVEMBER WATER DEFICIT (Millimeters)","DECEMBER WATER DEFICIT (Millimeters)"
"86","1994","11","Tamil Nadu","Salem","99.27","122.8","185.65","115.28","71.19","135.18","81.23","87.55","86.01","0.0","8.37"
"86","1995","11","Tamil Nadu","Salem","77.65","131.91","167.25","131.16","88.61","113.98","78.22","3.25","53.0","9.83","52.71"
"86","1996","11","Tamil Nadu","Salem","133.14","150.11","191.15","129.61","138.86","84.4","100.97","34.14","68.42","4.0","70.92"
"86","1997","11","Tamil Nadu","Salem","115.43","132.15","159.75","116.8","125.05","107.02","110.61","53.83","40.7","0.0","0.0"
"86","1998","11","Tamil Nadu","Salem","70.41","118.92","180.68","145.72","60.57","145.68","32.79","0.13","26.45","0.0","2.65"
"86","1999","11","Tamil Nadu","Salem","59.84","106.41","168.22","119.01","64.68","116.66","104.86","79.94","56.44","0.0","4.66"
"86","2000","11","Tamil Nadu","Salem","86.35","113.26","171.28","112.29","106.72","124.36","93.53","0.18","0.09","0.0","5.92"
"86","2001","11","Tamil Nadu","Salem","66.39","107.14","164.53","59.78","147.33","136.07","62.78","85.03","29.98","0.0","21.0"
"86","2002","11","Tamil Nadu","Salem","96.11","132.54","172.22","160.52","77.22","95.4","127.33","100.07","81.27","0.0","6.3"
"86","2003","11","Tamil Nadu","Salem","95.39","123.77","166.13","114.56","142.15","111.28","49.93","15.92","93.91","0.0","18.1"
"86","2004","11","Tamil Nadu","Salem","93.46","116.62","173.93","130.42","0.02","88.62","27.56","85.53","0.0","0.0","15.14"
"86","2005","11","Tamil Nadu","Salem","83.04","116.62","166.44","92.5","73.48","121.94","53.34","50.51","49.26","0.0","0.78"
"86","2006","11","Tamil Nadu","Salem","61.62","101.76","88.37","132.69","91.64","86.24","105.97","80.68","40.72","0.0","9.13"
"86","2007","11","Tamil Nadu","Salem","96.35","115.84","169.61","89.84","64.45","105.26","21.34","5.28","9.88","0.0","19.44"
"86","2008","11","Tamil Nadu","Salem","80.44","95.57","87.89","122.42","130.9","95.97","23.93","0.09","28.06","0.0","2.96"
"86","2009","11","Tamil Nadu","Salem","77.59","113.47","142.0","134.51","74.56","72.9","116.31","17.09","13.13","63.3","0.0"
"86","2010","11","Tamil Nadu","Salem","96.27","123.32","168.4","117.08","86.48","92.26","26.72","43.39","0.58","0.0","0.0"
"86","2011","11","Tamil Nadu","Salem","66.67","67.91","159.57","83.77","101.44","130.25","78.06","6.92","52.86","0.0","5.72"
"86","2012","11","Tamil Nadu","Salem","84.18","118.67","172.62","143.8","120.49","149.14","104.07","39.35","61.25","0.0","2.54"
"86","2013","11","Tamil Nadu","Salem","110.61","115.86","149.9","165.45","68.89","89.37","67.57","64.01","22.74","4.39","0.01"
"86","2014","11","Tamil Nadu","Salem","130.82","129.16","177.29","162.16","83.24","90.37","93.95","55.01","6.49","0.0","22.1"
"86","2015","11","Tamil Nadu","Salem","71.29","119.16","143.02","84.5","11.0","101.26","75.43","35.4","4.17","0.28","0.0"
"87","1990","11","Tamil Nadu","Coimbatore","60.4","118.72","148.58","147.15","49.95","64.26","30.71","55.61","66.34","0.0","0.54"
"87","1991","11","Tamil Nadu","Coimbatore","91.82","115.63","159.03","81.44","14.47","31.59","27.27","36.62","66.26","0.0","0.0"
"87","1992","11","Tamil Nadu","Coimbatore","99.47","122.37","167.39","110.54","66.11","49.16","24.54","38.62","47.31","0.12","0.0"
"87","1993","11","Tamil Nadu","Coimbatore","98.18","120.92","152.98","118.64","90.68","45.42","29.84","45.12","69.58","0.0","0.0"
"87","1994","11","Tamil Nadu","Coimbatore","73.08","105.58","148.42","43.8","11.38","27.24","33.52","45.38","60.78","0.0","3.34"
"87","1995","11","Tamil Nadu","Coimbatore","88.0","120.54","144.42","76.96","68.41","46.55","20.29","20.75","54.41","5.89","31.24"
"87","1996","11","Tamil Nadu","Coimbatore","111.43","128.43","151.44","77.87","111.48","41.97","27.2","40.66","48.28","6.63","61.49"
"87","1997","11","Tamil Nadu","Coimbatore","98.69","118.78","141.56","98.72","100.58","22.16","30.89","38.23","41.4","0.0","0.0"
